"","Total costs","Total QALYs","Net benefit (£20k/QALY)","Net benefit (£30k/QALY)","Incremental costs","Incremental QALYs","Incremental net benefit (£20k/QALY)","Incremental net benefit (£30k/QALY)","ICER"
"Cem CR_Fix Mod","3708.796, (2069.698, 7782.151)","13.289, (12.038, 13.964)","262071.724, (235710.853, 272120.007)","394961.984, (356093.661, 411761.730)","-","-","-","-","-"
"Cem CR_Fix Mono","4229.996, (2557.041, 6169.244)","13.228, (11.854, 14.161)","260329.243, (231681.935, 280145.996)","392608.862, (350225.682, 421760.249)","521.201, (-4818.625, 3402.121)","-0.0611, (-1.254, 0.749)","-1742.481, (-27267.425, 16110.466)","-2353.122, (-39806.107, 23227.770)","Dominated"
"Cem CR_Mob Mod","3622.794, (1988.993, 7151.836)","13.582, (12.310, 14.353)","268019.910, (243489.182, 280555.100)","403841.261, (366590.628, 423899.176)","-86.002, (-4511.717, 2593.713)","0.293, (-1.619, 2.293)","5948.186, (-28343.667, 44120.343)","8879.278, (-44537.659, 67054.180)","Dominant"
"Cem PS_Fix Mod","5148.802, (2051.989, 15643.594)","13.384, (12.490, 14.170)","262527.144, (242354.227, 279742.726)","396365.117, (367255.439, 421159.707)","1440.006, (-4726.673, 12433.527)","0.0948, (-1.245, 0.865)","455.420, (-20442.763, 15057.885)","1403.134, (-32897.235, 22682.657)","15194.53"
"Cem PS_Mob Mod","4812.564, (1716.187, 12510.212)","13.093, (11.501, 14.212)","257052.446, (227077.513, 277697.481)","387984.950, (342084.771, 418908.847)","1103.768, (-4378.522, 9728.034)","-0.196, (-1.650, 1.291)","-5019.278, (-32993.796, 26444.701)","-6977.033, (-49494.268, 39353.051)","Dominated"
"Cem Con_Con Mod","3069.794, (1390.919, 8765.168)","13.238, (12.130, 14.230)","261698.479, (239239.347, 281627.102)","394082.615, (360542.515, 423931.193)","-639.002, (-4328.727, 5567.532)","-0.0506, (-1.287, 1.529)","-373.245, (-24310.660, 32546.880)","-879.368, (-37180.075, 47832.308)","12625.42"
"Unc CR_Fix Mod","3071.923, (970.725, 7723.359)","13.471, (11.991, 14.536)","266338.913, (238371.891, 286464.183)","401044.331, (358284.731, 431821.663)","-636.873, (-5961.352, 4877.417)","0.182, (-1.139, 1.609)","4267.189, (-20967.983, 32927.027)","6082.347, (-32355.817, 49020.810)","Dominant"
"Unc CR_Mob Mod","3419.277, (1605.594, 5295.056)","13.080, (12.428, 14.032)","258176.645, (245801.519, 278406.403)","388974.606, (370079.562, 418724.397)","-289.519, (-5027.382, 2622.171)","-0.209, (-1.006, 0.693)","-3895.079, (-16041.327, 15788.583)","-5987.377, (-25430.371, 22715.588)","1383.74"
"Unc PS_Fix Mod","6457.268, (1174.894, 22825.354)","13.322, (12.244, 13.982)","259983.667, (241503.648, 276254.150)","393204.134, (364530.087, 415982.432)","2748.472, (-5430.556, 19916.772)","0.033, (-1.433, 1.858)","-2088.057, (-28517.536, 38361.080)","-1757.849, (-42848.820, 56616.483)","83234.67"
"Hyb CR_Fix Mod","9167.689, (1361.639, 45620.593)","13.247, (11.272, 14.460)","255781.050, (179823.826, 285150.131)","388255.419, (292546.035, 429749.243)","5458.893, (-4677.988, 40663.213)","-0.0416, (-0.788, 1.039)","-6290.674, (-56420.378, 20112.709)","-6706.564, (-64298.961, 30506.357)","Dominated"
"OX Cem CR_Fix Mod","3170.156, (1005.828, 6588.810)","13.133, (12.243, 14.050)","259483.866, (242648.590, 278868.025)","390810.877, (365082.613, 419354.054)","-538.639, (-5448.530, 3765.752)","-0.156, (-1.190, 0.970)","-2587.858, (-22861.412, 20077.626)","-4151.107, (-34763.743, 29777.750)","3445.64"
"OX Cem PS_Fix Mod","2904.740, (633.218, 7016.677)","13.377, (12.410, 14.102)","264627.860, (246239.860, 280384.756)","398394.160, (370435.061, 421359.976)","-804.055, (-6491.648, 3805.523)","0.0876, (-0.755, 0.880)","2556.136, (-15482.246, 17868.127)","3432.176, (-23027.272, 26490.859)","Dominant"
