"","Total costs","Total QALYs","Net benefit (£20k/QALY)","Net benefit (£30k/QALY)","Incremental costs","Incremental QALYs","Incremental net benefit (£20k/QALY)","Incremental net benefit (£30k/QALY)","ICER"
"Cem CR_Fix Mod","1647.25, (802.41, 2483.36)","13.61, (12.82, 14.49)","270591.62, (254293.37, 288889.14)","406711.05, (382455.43, 433810.02)","-","-","-","-","-"
"Cem CR_Fix Mono","1664.67, (1122.01, 2657.39)","12.95, (11.45, 14.61)","257389.48, (226919.43, 290105.83)","386916.55, (341431.25, 436230.42)","17.42, (-876.30, 1305.16)","-0.66, (-2.35, 0.89)","-13202.14, (-47881.76, 17066.50)","-19794.50, (-71408.16, 25866.12)","Dominated"
"Cem CR_Mob Mod","1753.33, (1000.06, 2532.49)","13.25, (12.15, 14.37)","263222.60, (241635.64, 285551.99)","4e+05, (363145.71, 429224.13)","106.08, (-535.16, 1503.70)","-0.36, (-2.27, 1.00)","-7369.02, (-45463.95, 19787.25)","-11000.49, (-68201.15, 29806.83)","Dominated"
"Cem PS_Fix Mod","1728.07, (1014.75, 3160.01)","12.55, (10.54, 13.96)","249227.31, (209079.57, 277073.37)","374704.99, (314443.71, 416713.09)","80.82, (-1243.15, 1422.09)","-1.06, (-2.88, 0.98)","-21364.31, (-57610.09, 19595.50)","-32006.06, (-86453.52, 29423.85)","Dominated"
"Cem PS_Mob Mod","2084.64, (1134.16, 3398.79)","13.33, (11.65, 14.45)","264495.71, (230543.93, 286383.19)","4e+05, (347069.08, 430838.14)","437.39, (-822.85, 1799.46)","-0.28, (-2.28, 1.15)","-6095.91, (-46245.32, 23319.57)","-8925.17, (-69010.58, 34867.81)","Dominated"
"Cem Con_Con Mod","1244.68, (797.29, 1712.72)","12.87, (11.78, 13.94)","256191.55, (234199.75, 277883.53)","384909.66, (352010.62, 417225.77)","-402.58, (-1217.36, 90.39)","-0.74, (-1.68, 0.036)","-14400.07, (-33121.70, 744.29)","-21801.39, (-49908.60, 1106.88)","543.92"
"Unc CR_Fix Mod","1793.70, (802.85, 3144.05)","13.84, (12.55, 14.46)","274958.64, (249309.17, 286315.04)","413334.81, (374773.99, 430924.75)","146.44, (-633.29, 2222.17)","0.23, (-1.21, 1.27)","4367.02, (-24893.00, 25800.66)","6623.76, (-37034.87, 38514.78)","648.92"
"Unc CR_Mob Mod","1714.86, (898.80, 2728.72)","12.90, (10.71, 14.69)","256225.65, (212733.61, 291039.26)","385195.91, (319806.39, 437900.31)","67.61, (-1113.28, 1041.71)","-0.71, (-3.04, 1.36)","-14365.96, (-60028.71, 26320.96)","-21515.14, (-90432.05, 39788.05)","Dominated"
"Unc PS_Fix Mod","1680.94, (1313.18, 2217.47)","13.27, (12.21, 14.23)","263798.31, (242225.82, 283007.21)","4e+05, (364277.31, 425272.96)","33.69, (-1082.78, 1100.14)","-0.34, (-1.78, 0.91)","-6793.31, (-36413.24, 18457.28)","-10173.12, (-54254.46, 27516.24)","Dominated"
"Hyb CR_Fix Mod","1846.41, (1066.26, 2770.39)","13.57, (12.66, 14.33)","269537.17, (251694.51, 283968.41)","405228.96, (378341.06, 427227.07)","199.16, (-1008.34, 1775.44)","-0.043, (-0.77, 0.59)","-1054.45, (-16223.93, 10597.67)","-1482.09, (-23913.72, 16515.28)","Dominated"
"OX Cem CR_Fix Mod","1689.04, (1248.13, 2528.97)","13.10, (12.20, 14.58)","260395.16, (242415.56, 290127.61)","391437.26, (364411.75, 435910.87)","41.78, (-938.03, 1613.02)","-0.51, (-2.00, 0.97)","-10196.45, (-39994.18, 19064.12)","-15273.79, (-60038.17, 28754.80)","Dominated"
"OX Cem PS_Fix Mod","1696.02, (862.96, 3182.05)","13.18, (12.37, 14.23)","261968.74, (246386.02, 283155.15)","393801.12, (370127.83, 425485.42)","48.77, (-1540.08, 2351.86)","-0.43, (-1.60, 1.15)","-8622.88, (-32367.78, 23569.20)","-12909.93, (-48192.09, 35022.30)","Dominated"
