"","QALYs","Costs","Net_benefit","Inc.Net_benefit","ICER"
"Implant MoP Cem CR_Fix Mod","11.21 (9.20 ,12.35)","3012.45 (1529.98 ,5553.83)","221115.08 (178554.36 ,245324.69)","0.00 (0.00 ,0.00)","NaN"
"Implant MoP Cem CR_Fix Mono","11.17 (9.19 ,12.24)","2982.32 (1512.36 ,5370.40)","220367.31 (178805.31 ,242985.62)","-747.77 (-48455.91 ,46857.50)","774.53"
"Implant MoP Cem CR_Mob Mod","11.24 (9.15 ,12.45)","3049.25 (1486.16 ,5670.88)","221767.15 (177388.34 ,247420.59)","652.08 (-51323.20 ,52381.13)","1068.4"
"Implant MoP Cem PS_Fix Mod","11.36 (9.08 ,12.53)","3002.34 (1435.50 ,6010.78)","224144.97 (176017.62 ,248969.98)","3029.89 (-49402.91 ,52214.14)","Dominant"
"Implant MoP Cem PS_Mob Mod","11.25 (8.24 ,12.57)","3239.13 (1465.23 ,6833.56)","221692.04 (158186.89 ,249946.34)","576.96 (-70623.26 ,55615.07)","5641.3"
"Implant MoP Cem Con_Con Mod","11.23 (7.97 ,12.67)","2740.17 (832.76 ,6316.32)","221768.74 (153207.73 ,252334.48)","653.66 (-74090.14 ,53711.35)","Dominant"
"Implant MoP Unc CR_Fix Mod","11.12 (7.16 ,12.75)","2942.66 (783.59 ,7150.29)","219525.77 (135989.51 ,254051.55)","-1589.31 (-85259.45 ,55601.76)","841.28"
"Implant MoP Unc CR_Mob Mod","11.11 (6.83 ,12.82)","3073.95 (827.29 ,7774.87)","219116.01 (129618.14 ,255592.10)","-1999.07 (-99120.82 ,59043.93)","Dominated"
"Implant MoP Unc PS_Fix Mod","11.01 (5.55 ,12.85)","3320.01 (830.54 ,9001.77)","216917.70 (1e+05 ,255847.91)","-4197.37 (-120679.70 ,58748.29)","Dominated"
"Implant MoP Hyb CR_Fix Mod","11.38 (6.96 ,12.94)","3149.50 (894.27 ,10500.60)","224546.64 (130321.40 ,257886.80)","3431.56 (-94594.01 ,62599.48)","768.09"
"Implant OX Cem CR_Fix Mod","11.63 (7.35 ,12.94)","2868.65 (980.62 ,9006.53)","229717.75 (138539.60 ,257644.65)","8602.67 (-83416.69 ,63667.38)","Dominant"
"Implant OX Cem PS_Fix Mod","11.82 (8.02 ,12.94)","2248.80 (588.08 ,9032.49)","234228.62 (153955.32 ,258057.03)","13113.54 (-72412.43 ,64463.12)","Dominant"
