"","Total costs","Total QALYs","Net benefit (£20k/QALY)","Net benefit (£30k/QALY)","Incremental costs","Incremental QALYs","Incremental net benefit (£20k/QALY)","Incremental net benefit (£30k/QALY)","ICER"
"Cem CR_Fix Mod","1514.815, (953.672, 2253.688)","13.440, (11.472, 14.713)","267282.448, (227740.908, 293135.659)","401681.079, (342464.783, 440265.560)","-","-","-","-","-"
"Cem CR_Fix Mono","1183.547, (845.621, 2026.690)","12.736, (11.735, 14.095)","253537.485, (233849.326, 280540.261)","380898.002, (351196.800, 421486.865)","-331.268, (-1015.858, 497.770)","-0.704, (-2.422, 1.015)","-13744.962, (-47742.462, 20923.671)","-20783.077, (-71966.510, 31076.790)","470.68"
"Cem CR_Mob Mod","1581.143, (1092.269, 2406.913)","13.331, (12.148, 14.373)","265045.206, (241478.035, 286005.154)","398358.380, (362956.686, 429735.273)","66.328, (-378.967, 1289.746)","-0.109, (-1.616, 2.153)","-2237.242, (-32460.424, 41891.621)","-3322.699, (-48618.304, 63421.391)","Dominated"
"Cem PS_Fix Mod","1755.394, (1160.630, 2203.610)","13.872, (13.336, 14.525)","275685.545, (264558.944, 288482.897)","414406.015, (397918.732, 433735.580)","240.579, (-986.158, 1245.055)","0.432, (-1.207, 2.644)","8403.098, (-24991.046, 52818.341)","12724.936, (-37063.762, 79257.761)","556.66"
"Cem PS_Mob Mod","1899.245, (1209.274, 2933.086)","13.321, (12.025, 14.483)","264518.356, (237762.730, 287824.946)","397727.156, (358017.437, 432651.105)","384.430, (-968.034, 1974.662)","-0.119, (-1.143, 2.319)","-2764.092, (-23426.744, 46547.620)","-3953.922, (-34676.880, 69733.264)","Dominated"
"Cem Con_Con Mod","1288.567, (777.304, 2625.840)","13.415, (11.233, 14.410)","267005.043, (223697.776, 287107.990)","401151.848, (336028.843, 431205.241)","-226.248, (-1317.846, 1080.097)","-0.0252, (-2.469, 2.193)","-277.404, (-49106.216, 44056.581)","-529.230, (-73797.721, 65989.788)","8984.30"
"Unc CR_Fix Mod","1404.007, (730.608, 2265.911)","13.512, (12.198, 14.892)","268833.392, (242504.548, 296108.744)","403952.091, (364479.591, 445033.101)","-110.808, (-970.935, 1022.030)","0.072, (-1.510, 2.192)","1550.944, (-30935.031, 44636.606)","2271.013, (-45951.122, 66555.986)","Dominant"
"Unc CR_Mob Mod","1360.943, (932.399, 1945.352)","13.654, (12.477, 14.442)","271717.981, (248522.789, 286990.974)","408257.443, (373294.735, 431413.131)","-153.872, (-1046.228, 514.952)","0.214, (-1.392, 1.962)","4435.533, (-27613.732, 38737.076)","6576.364, (-41529.914, 58355.730)","Dominant"
"Unc PS_Fix Mod","1677.972, (1089.490, 2337.610)","12.820, (10.803, 14.396)","254715.320, (214808.288, 286263.179)","382911.966, (322841.532, 430223.354)","163.157, (-1102.553, 1038.953)","-0.620, (-3.669, 2.547)","-12567.127, (-73245.769, 51100.625)","-18769.112, (-109932.476, 76567.958)","Dominated"
"Hyb CR_Fix Mod","1786.717, (1063.570, 3193.959)","12.552, (10.805, 13.578)","249249.344, (214951.953, 269566.019)","374767.374, (323004.788, 405345.743)","271.902, (-1154.689, 1446.858)","-0.888, (-2.990, 1.809)","-18033.104, (-58937.607, 34728.796)","-26913.705, (-88835.567, 52816.623)","Dominated"
"OX Cem CR_Fix Mod","1854.217, (1161.224, 2816.572)","13.709, (12.235, 14.706)","272329.994, (242909.496, 291992.162)","409422.099, (365258.313, 439051.560)","339.403, (-700.577, 1731.471)","0.269, (-2.311, 2.850)","5047.546, (-46915.366, 57311.685)","7741.021, (-70025.751, 85815.471)","1260.09"
"OX Cem PS_Fix Mod","1528.845, (736.261, 2426.809)","13.388, (11.090, 15.099)","266232.650, (220696.649, 3e+05)","4e+05, (331595.139, 450590.309)","14.031, (-1183.320, 1318.953)","-0.0518, (-2.541, 2.895)","-1049.797, (-50691.422, 57039.279)","-1567.681, (-76103.989, 85993.672)","Dominated"
